血,105
蠲,1
蠢,10
蠙,5
蠃,3
蟾,5
蟹,37
蟮,1
蟭,18
蟠,64
蟟,18
蟒,29
蟋,2
蟆,3
螺,4
螭,1
融,11
螃,7
蝼,6
蝶,15
蝴,5
蝠,2
蝙,1
蝎,7
蝉,28
蝇,29
蜾,1
蜻,18
蜷,1
蜢,7
蜡,10
蜜,29
蜚,1
蜘,10
蜗,2
蜓,15
蜍,4
蜋,1
蜈,6
蜇,3
蜃,6
蜂,23
蜀,5
蛾,13
蛱,1
蛰,8
蛮,11
蛭,4
蛩,2
蛤,3
蛟,26
蛛,13
蛙,3
蛏,1
蛎,1
蛋,3
蛇,80
蛆,1
蛀,2
蚯,1
蚤,5
蚣,6
蚕,10
蚓,2
蚌,2
蚊,6
蚂,6
蚁,13
虾,34
虽,226
虼,5
虹,14
虱,9
虬,3
虫,145
虞,7
虚,171
虔,26
虑,45
虐,4
虏,2
虎,351
虀,2
蘼,3
蘸,13
蘩,1
蘛,1
蘑,8
蘋,4
藿,2
藻,3
藩,1
藤,73
藜,11
藕,9
藓,10
藐,4
藏,1602
薰,1
薯,1
薪,6
薤,1
薜,9
薛,4
薏,1
薇,4
薅,1
薄,31
蕴,2
蕨,1
蕙,9
蕖,2
蕊,77
蕉,63
蕈,5
蕃,2
蔽,9
蔼,21
蔷,3
蔬,15
蔗,1
蔓,9
蔑,1
蓼,12
蓬,103
蓦,2
蓝,81
蓑,6
蓏,3
蓍,3
蓉,9
蓄,1
蓁,1
蒿,9
蒺,4
蒹,2
蒸,110
蒲,19
蒯,1
蒭,2
蒜,6
蒙,168
蒂,4
葵,6
葱,10
葭,2
葬,7
葫,90
葩,7
董,2
葡,9
葛,29
著,9
落,360
萼,5
萱,1
萨,787
萧,23
萦,5
营,60
萤,8
萝,29
萏,3
萍,2
萌,4
萄,10
菾,3
菽,1
菲,11
菱,6
菰,2
菩,798
菡,3
菠,1
菜,63
菘,1
菖,1
菔,2
菑,1
菊,11
菇,9
菂,2
菁,7
莽,8
莺,9
莹,1
获,44
莴,1
莲,111
莱,19
莫,751
莙,1
莎,9
莉,1
荽,1
荼,4
荻,3
荷,18
药,190
荬,1
荫,17
荧,6
荤,44
荣,29
荡,137
荠,4
荞,2
荜,3
荙,1
荔,6
荒,54
荐,10
草,269
荇,1
荆,39
茸,6
茶,213
茵,7
茴,1
茯,3
茭,3
茫,30
茧,3
茔,3
茏,1
茎,1
茉,3
茆,1
茅,21
茄,3
范,3
茂,17
苾,1
苹,2
英,91
苫,12
苦,342
若,937
苡,1
苟,11
苞,1
苗,16
苔,18
苓,4
苑,12
苏,23
苍,87
苋,2
苇,3
芽,19
芹,4
芳,32
花,727
芰,3
芭,66
芬,1
芫,1
芦,108
芥,9
芤,2
芝,29
芜,2
芙,9
芒,14
芍,9
芋,6
芊,2
节,132
艾,6
艺,40
艳,71
色,336
艰,17
良,86
艮,6
艎,1
艇,5
船,94
舵,1
舱,1
般,565
航,3
舟,26
舞,126
舜,7
舔,2
舒,29
舍,219
舌,55
舆,6
舅,22
舂,4
舀,12
臾,73
臼,1
臻,6
致,80
至,768
臭,20
自,979
臣,206
臊,17
臂,32
臁,1
臀,3
膻,2
膳,20
膭,1
膨,1
膝,16
膜,2
膛,5
膘,2
膏,14
膊,25
膂,6
膀,1
腿,40
腾,151
腼,1
腻,16
腹,71
腰,190
腮,42
腭,2
腥,17
腕,6
腔,16
腑,8
腐,16
腌,15
腋,1
腊,12
腆,4
脾,5
脸,257
脱,321
脯,5
脚,314
脓,23
脑,62
脐,5
脏,19
脊,26
脉,38
脆,4
脂,18
能,626
胸,70
胯,6
胭,10
胧,20
胡,142
胞,6
胜,272
胖,23
胎,96
背,161
胆,149
胄,4
胃,6
胁,12
胀,11
肿,11
肾,2
肺,8
肴,19
育,21
肱,4
肯,223
肩,51
肥,19
肤,6
肢,11
股,49
肠,55
肝,39
肚,124
肘,2
肖,3
肓,1
肐,5
肌,10
肋,2
肉,162
肆,8
肃,13
聪,7
聚,67
聘,1
联,20
聒,23
职,33
聋,12
聊,14
聆,5
耿,6
耽,18
耻,7
耸,30
耶,73
耳,297
耨,1
耙,4
耘,2
耗,5
耕,12
耐,34
耍,164
而,571
者,4989
考,5
老,3412
耀,31
翼,6
翻,193
翳,4
翱,2
翰,7
翮,2
翩,10
翥,1
翡,9
翠,134
翛,2
翘,10
翕,2
翔,5
翎,10
翊,1
翅,68
翁,46
羿,1
羽,28
羹,3
羸,4
羲,1
群,170
羡,11
羞,65
羚,2
羔,2
羑,1
美,162
羌,1
羊,93
羁,7
罾,1
罴,6
置,29
罪,271
罩,50
罢,753
罡,16
罚,6
罗,319
罕,22
罔,6
网,54
罐,11
罍,2
罄,12
缺,11
缸,28
缴,17
缰,33
缯,2
缭,9
缪,3
缩,24
缨,17
缥,19
缤,12
缢,5
缠,107
缟,2
缝,29
缚,52
缘,127
编,18
缕,21
缓,31
缎,5
缉,4
缈,18
缆,6
缄,1
缃,6
缁,4
缀,3
绿,79
绾,1
绽,16
综,1
绺,1
绸,3
绷,5
绶,5
绵,35
维,15
绳,212
绰,39
绮,11
续,8
绫,20
绪,7
绩,14
继,11
绦,30
绣,124
绢,7
绡,9
统,10
绞,8
绝,116
络,10
绛,12
绚,2
给,28
绘,1
绕,91
绔,2
结,180
绒,21
绑,74
经,939
绎,1
绍,2
绊,15
终,67
织,16
细,321
练,10
线,42
纽,4
纻,4
纺,3
纹,8
纸,59
纷,90
纶,4
纵,246
纳,42
纲,10
纱,35
纯,12
纭,4
纬,5
纫,1
纪,37
级,11
约,52
纥,3
纤,12
红,340
纠,25
繁,10
縺,2
絯,2
絮,27
累,66
紫,136
紧,287
索,166
素,171
紊,3
系,50
糰,1
糯,3
糠,7
糟,13
糜,4
糙,10
糖,16
糕,14
糊,19
精,1038
粽,2
粲,1
粱,4
粮,36
粪,3
粥,8
粟,2
粘,10
粗,110
粒,34
粉,90
类,73
籴,1
米,88
籥,1
籍,12
籁,11
簿,34
簸,5
簪,11
簧,2
簌,3
簇,74
簆,1
篾,9
篷,28
篱,13
篮,23
篡,2
篙,6
篓,2
篏,1
篇,16
篆,7
篁,13
箸,6
箴,1
箱,8
箭,45
箬,3
箫,10
箪,2
箨,2
箧,2
管,340
箝,3
算,95
箕,8
箔,2
箓,7
箍,238
简,51
签,1
筹,9
筵,69
筮,2
筠,1
筝,1
筛,10
策,33
答,184
筒,3
筑,134
筐,3
筏,10
筋,173
等,1594
筇,1
笼,121
第,250
符,26
笤,7
笠,9
笞,2
笛,4
笙,14
笔,32
笑,1017
笏,3
笋,22
笊,3
笆,1
笄,2
笃,3
竿,33
竺,43
竹,122
端,168
竭,19
竦,2
童,261
章,121
竟,110
竞,18
站,84
竖,33
立,297
窿,22
窦,1
窥,3
窠,3
窟,41
窝,65
窜,4
窘,1
窗,57
窖,7
窕,5
窑,9
窎,1
窍,31
窊,1
窈,4
窄,19
窃,15
突,25
穿,272
空,1067
穹,5
穷,54
究,6
穴,34
穰,2
穗,4
穑,1
稽,9
稼,3
稻,9
稷,12
稳,74
稠,2
稚,3
稔,1
稍,18
程,92
稀,58
秾,5
秽,20
移,50
称,267
积,67
秧,4
秦,19
秤,21
租,4
秘,7
科,19
种,72
秋,90
秉,38
秇,1
秃,17
私,46
秀,80
禾,7
禽,64
离,218
禺,2
禹,9
禳,4
福,145
禅,178
禄,51
禁,73
禀,14
祸,114
祷,30
祯,3
祭,57
票,2
祥,153
祠,19
祟,8
神,1191
祝,36
祛,11
祚,1
祗,1
祖,263
祐,7
祈,24
祇,24
祀,5
社,26
礼,521
示,36
磷,20
磴,2
磲,1
磬,22
磨,70
磕,104
磐,1
磊,4
磁,12
碾,7
確,1
碴,1
碧,74
碣,9
碟,4
碛,1
碗,88
碓,10
碑,12
碎,119
碍,25
碌,12
硬,53
硝,3
硗,1
硕,1
砾,1
砺,1
破,240
砧,3
砥,2
砚,7
砖,33
砑,5
砍,105
砌,26
砂,42
石,413
矮,12
短,117
矬,4
矫,1
矩,5
矧,1
知,1358
矣,149
矢,3
矛,4
矗,10
瞽,1
瞻,19
瞰,1
瞬,1
瞧,3
瞥,2
瞔,1
瞒,85
瞑,7
瞎,5
瞌,14
瞅,3
睺,2
睹,9
睳,2
睮,8
睬,14
睦,6
督,8
睡,307
睛,121
睖,2
睍,1
睆,4
睁,74
着,2492
眼,497
眺,2
眸,3
眷,25
眭,1
眩,1
眠,30
真,1092
眙,2
看,2039
眉,73
省,48
盼,19
盹,18
相,888
直,340
盲,3
盱,2
目,127
盟,2
盞,1
盛,82
盘,236
盗,62
盖,164
盔,29
盒,6
监,76
盐,16
盏,72
益,12
盈,47
盆,41
盅,1
盂,60
皿,7
皻,1
皱,16
皮,215
皤,4
皘,19
皓,8
皐,1
皎,17
皋,2
皈,82
皇,232
皆,244
的,5433
皂,36
百,535
白,509
登,147
癸,1
癫,2
癞,10
癃,1
癀,1
瘼,1
瘴,6
瘫,1
瘩,1
瘦,26
瘢,1
瘟,14
瘖,2
痴,37
痰,4
痫,1
痨,6
痞,1
痛,118
痖,5
痕,16
痒,24
痊,2
痈,2
症,1
病,102
疾,44
疼,141
疸,2
疴,6
疲,6
疯,3
疮,2
疥,4
疤,2
疙,3
疗,2
疑,104
疏,29
疆,5
畿,2
畴,2
番,139
畦,2
略,76
畜,86
留,274
畔,10
畏,7
界,262
畅,7
画,53
男,99
电,59
申,20
甲,122
由,59
田,64
甫,1
用,545
甥,12
生,1282
甜,17
甚,1170
甘,52
瓶,111
瓴,1
瓯,3
瓮,8
瓦,51
瓣,17
瓢,10
瓠,2
瓜,55
璧,3
璞,1
璋,1
璃,34
瑶,65
瑰,3
瑠,1
瑟,4
瑞,80
瑜,5
瑚,7
瑙,11
瑕,6
瑁,5
瑀,19
琼,28
琶,13
琵,13
琴,11
琳,1
琮,1
琪,11
琥,5
琢,14
琚,1
琗,1
琐,2
琉,23
理,242
琅,2
球,35
珰,2
珮,9
班,116
珪,10
珠,115
珑,20
珍,60
珊,8
珉,1
珀,5
玻,10
玷,4
玳,5
玲,21
现,264
环,79
玫,2
玩,46
玨,1
玠,1
玛,11
玑,2
玎,2
王,2714
玉,583
率,27
玄,179
獾,6
獭,2
獬,11
獠,15
獝,2
獗,6
獒,1
獐,39
猿,100
猾,1
猷,2
猴,660
猱,12
献,110
猫,11
猪,337
猩,13
猥,2
猢,60
猜,43
猛,92
猖,14
猕,14
猎,21
猍,1
猊,10
猁,1
狼,109
狻,9
狸,28
狲,58
狱,45
狰,2
狮,139
狭,4
独,83
狨,3
狤,2
狢,8
狡,12
狠,76
狞,6
狗,23
狔,3
狐,57
狎,1
狈,7
狂,93
犼,5
犺,6
犹,49
状,70
犴,10
犯,61
犭,2
犬,42
犒,2
犊,4
犁,2
犀,36
牺,3
特,177
牸,1
牵,143
牲,11
牯,3
物,503
牧,5
牢,45
牡,9
牟,7
牛,274
牙,159
牖,4
牒,53
牌,112
版,5
片,81
爽,25
爻,4
爹,23
爷,563
父,1896
爵,11
爱,148
爰,1
爬,119
爪,43
爨,2
爊,2
爇,2
爆,11
燧,2
燥,25
燕,20
燎,14
燃,5
熳,2
熯,2
熬,30
熟,122
熝,1
熙,2
熔,1
熏,18
熌,10
熊,28
熄,3
煽,1
煼,5
煮,44
煨,6
照,189
煤,3
煠,3
煞,9
煎,37
煌,21
煅,9
然,879
焰,114
焯,1
焦,52
焜,1
焚,44
焙,1
焕,1
焉,10
焃,4
烹,17
热,72
烬,9
烫,2
烨,4
烧,221
烦,132
烤,1
烟,192
烛,42
烙,2
烘,43
烈,50
烂,61
烁,7
炽,2
炼,113
点,344
炸,1
炷,3
炳,2
炮,18
炭,14
炬,1
炫,1
炙,1
炖,1
炒,15
炎,17
炊,4
炉,97
炁,1
灿,19
灾,115
灼,54
灸,1
灶,26
灵,404
灰,38
灯,241
灭,117
火,820
灞,8
灒,2
灌,24
瀼,2
瀛,16
瀑,7
濯,12
濛,1
激,27
澹,1
澳,1
澡,18
澜,5
澌,2
澄,22
潺,29
潮,22
潭,28
潦,1
潠,2
潜,38
潘,1
潇,23
漾,4
漷,2
漱,6
漫,70
漩,1
漠,34
漕,2
演,59
漓,6
漏,33
漉,2
漆,43
滴,84
滩,17
滥,2
满,445
滞,17
滚,200
滔,25
滑,38
滋,16
滉,1
滂,5
溺,13
溶,2
溲,1
溪,32
溢,1
溟,4
溜,54
源,35
溅,5
湿,14
湾,25
湲,5
湛,10
湘,4
湖,24
湍,3
湅,2
渺,41
游,127
渴,39
渰,16
港,1
渭,5
温,92
渤,1
渣,1
渡,77
渠,1
渚,1
渗,2
渔,41
渐,111
渎,14
渍,2
渊,17
清,351
添,60
淹,6
混,72
淳,2
深,255
淮,7
淬,17
淫,17
淤,2
淡,51
淙,7
淘,15
淌,7
淋,53
淇,1
淅,10
淄,3
涸,4
涵,3
涴,1
液,13
涯,29
涩,5
涨,11
涧,147
润,26
涤,13
涝,2
涛,12
涕,7
涓,10
涎,14
涌,29
涉,24
消,203
涅,7
涂,7
浼,2
浸,18
海,501
浴,34
浮,67
浪,104
浩,15
浦,3
浙,1
浓,39
浑,93
济,92
浍,1
测,8
浊,13
浇,14
浆,40
浅,36
流,275
派,26
洼,2
活,207
洲,95
洪,84
津,15
洞,816
洛,1
洗,111
洒,36
洋,50
洁,20
泾,18
泽,13
泼,243
泻,3
泱,6
泰,37
泯,3
泫,1
泪,188
注,35
泥,51
泣,9
波,169
泡,11
泠,1
泞,1
泛,18
泗,2
法,755
泓,1
泌,1
泊,3
泉,89
泄,26
沿,17
沾,23
沽,7
沼,11
治,105
油,128
沸,3
河,294
沱,5
沫,9
沧,8
沦,9
沥,6
沤,1
没,556
沟,12
沛,1
沙,1109
沓,1
沐,22
沍,1
沌,17
沉,115
沃,1
沁,3
汾,2
汽,1
汹,4
汲,5
汪,34
汨,1
汤,92
污,39
池,110
江,158
汞,10
汝,156
汛,1
汗,24
汊,1
汉,190
求,324
汁,8
汀,3
永,76
水,1125
氲,9
氤,7
氛,9
气,610
民,94
氐,2
氏,40
氅,8
毯,2
毬,1
毫,176
毧,1
毡,14
毛,293
毗,35
毕,286
比,220
毒,100
每,90
母,328
毋,1
毂,22
毁,15
殿,495
殷,39
段,174
殡,2
殖,2
殓,2
殒,1
残,67
殊,20
殄,5
殃,7
殁,1
死,569
歹,87
歪,21
武,179
步,289
此,2093
正,1297
止,126
歌,48
歉,1
歇,112
款,23
欺,122
欹,2
欷,2
欲,229
欧,1
欤,1
欣,52
欢,301
次,152
欠,53
檠,2
檐,33
檎,3
檄,7
檀,24
橹,1
橦,1
橙,5
橘,2
橐,1
橄,2
樽,4
樵,82
樱,11
樯,1
横,67
樨,1
模,166
樗,5
樊,3
槿,3
槽,10
槺,1
槟,1
槛,13
槐,11
槎,7
槌,9
槅,2
槃,12
槁,3
榾,2
榻,19
榴,14
榧,3
榜,59
榛,4
榔,4
榇,1
榆,4
榄,2
概,22
楼,237
楷,4
楮,5
楫,4
楠,4
楟,2
楞,7
楝,1
楚,25
椿,5
椽,5
椰,10
椒,7
植,4
椅,24
棺,14
棹,11
棵,9
棱,10
森,83
棬,2
棣,1
棠,8
棚,3
棘,30
棕,9
棒,648
棍,214
棋,20
棂,11
检,29
梵,6
梳,16
械,26
梯,10
梭,13
梨,13
梧,9
梦,114
梢,34
梓,4
梆,27
梅,65
梃,10
梁,83
桶,22
桩,38
桨,4
桧,14
桥,114
桡,1
桠,8
桔,2
桓,9
桑,12
桐,3
桌,72
案,57
桅,4
桃,183
桂,13
栽,22
格,29
根,315
核,23
样,361
株,37
校,33
栗,8
栖,18
栓,2
树,330
栏,26
栋,16
栊,6
栈,7
标,12
栅,1
柿,12
柴,73
柳,127
柱,51
柰,2
柯,12
柮,2
柬,8
柩,1
查,96
柞,1
柜,67
柘,1
柔,12
染,28
柑,1
